a_id,role,is_bot,is_control,a_totalhit,a_start,a_last
1421380336,bot_hp,True,False,792.0,2021-01-16,2023-03-05
1421382595,bot_hp,True,False,652.0,2021-01-16,2023-03-04
1421383910,bot_hp,True,False,3063.0,2021-01-16,2023-01-12
1421412837,bot_hp,True,False,2437.0,2021-01-16,2022-12-14
1421413294,bot_hp,True,False,1765.0,2021-01-16,2022-12-12
1421425549,bot_hp,True,False,832.0,2021-01-16,2023-03-01
1421634256,bot_hp,True,False,48.0,2021-01-16,2021-09-08
1421661317,bot_hp,True,False,2504.0,2021-01-16,2023-02-28
1421685854,bot_hp,True,False,1242.0,2021-01-16,2022-10-05
1421775753,bot_hp,True,False,158.0,2021-01-16,2023-03-05
1421942815,ctrl_hpneg,False,True,112.0,2021-01-16,2021-04-02
1422141059,labeled_pothuman,False,True,149560.0,2021-01-16,2023-03-04
1422173193,bot_hp,True,False,1876.0,2021-01-16,2021-09-09
1422195671,bot_hp,True,False,6330.0,2021-01-16,2023-02-23
1422238971,bot_hp,True,False,1103.0,2021-01-16,2022-05-12
1422247329,bot_hp,True,False,514.0,2021-01-16,2022-07-11
1422249391,bot_hp,True,False,624.0,2021-01-16,2021-11-14
1422258685,bot_hp,True,False,211.0,2021-01-16,2023-03-01
1422262713,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262714,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262719,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262725,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262730,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262732,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262734,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262743,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262749,ctrl_white,False,True,,2021-01-16,2021-01-16
1422262750,ctrl_white,False,True,,2021-01-16,2021-01-16
1422825504,bot_hp,True,False,4539.0,2021-01-16,2023-02-27
1422888725,ctrl_hpneg,False,True,116.0,2021-01-16,2022-05-27
1422924690,bot_hp,True,False,1751.0,2021-01-16,2022-08-23
1422927984,bot_hp,True,False,721.0,2021-01-16,2023-01-06
1423068617,bot_hp,True,False,2.0,2021-01-16,2021-11-27
1423096762,bot_hp,True,False,469.0,2021-01-16,2022-10-05
1425590862,bot_hp,True,False,13691.0,2021-01-16,2023-02-20
1425595602,bot_hp,True,False,3.0,2021-01-16,2021-02-02
1425606789,ctrl_hpneg,False,True,126.0,2021-01-17,2021-04-07
1425607064,bot_hp,True,False,26786.0,2021-01-17,2023-03-05
1425619204,bot_hp,True,False,22853.0,2021-01-17,2023-02-25
1425714688,bot_hp,True,False,118.0,2021-01-17,2022-04-19
1425720647,bot_hp,True,False,2486.0,2021-01-17,2023-01-19
1425728281,labeled_pothuman,False,True,13407.0,2021-01-17,2023-02-07
1425913666,bot_hp,True,False,486.0,2021-01-17,2022-06-02
1425934031,bot_hp,True,False,4594.0,2021-01-17,2022-08-29
1426264108,bot_hp,True,False,18.0,2021-01-17,2021-09-12
1426272280,bot_hp,True,False,467.0,2021-01-17,2022-08-29
1426385307,bot_hp,True,False,4207.0,2021-01-17,2022-04-07
1426993479,ctrl_hpneg,False,True,2.0,2021-01-17,2021-01-28
1426996751,ctrl_hpneg,False,True,16.0,2021-01-17,2021-01-21
1427120697,bot_hp,True,False,11752.0,2021-01-17,2023-02-22
1427183473,ctrl_hpneg,False,True,1422.0,2021-01-17,2022-03-16
1427187896,ctrl_white,False,True,8.0,2021-01-17,2021-01-19
1427188162,bot_hp,True,False,3078.0,2021-01-17,2022-09-21
1427247151,bot_hp,True,False,938.0,2021-01-17,2022-05-05
1427251675,bot_hp,True,False,2298.0,2021-01-17,2023-02-22
1427269950,bot_hp,True,False,641.0,2021-01-17,2022-12-21
1427306458,bot_hp,True,False,1684.0,2021-01-17,2023-02-27
1427531343,bot_hp,True,False,13.0,2021-01-17,2022-09-10
1427539701,bot_hp,True,False,17.0,2021-01-17,2021-04-13
1427540956,bot_hp,True,False,496.0,2021-01-17,2021-08-12
1427550478,ctrl_white,False,True,,2021-01-17,2021-05-14
1427555486,bot_hp,True,False,29.0,2021-01-17,2021-10-15
1427601580,bot_hp,True,False,301.0,2021-01-17,2021-11-25
1427690098,bot_hp,True,False,2307.0,2021-01-17,2022-01-26
1427950305,ctrl_hpneg,False,True,57.0,2021-01-17,2021-01-18
1428120841,bot_hp,True,False,18.0,2021-01-17,2023-01-15
1428124558,bot_hp,True,False,8.0,2021-01-17,2021-04-10
1428684370,bot_hp,True,False,3817.0,2021-01-17,2023-03-05
1428764610,bot_hp,True,False,1649.0,2021-01-17,2021-10-07
1428827942,bot_hp,True,False,1640.0,2021-01-17,2022-02-28
1429045312,bot_hp,True,False,717.0,2021-01-17,2021-11-05
1429236080,labeled_chrome,False,True,98099.0,2021-01-17,2023-03-05
1429245822,bot_hp,True,False,2111.0,2021-01-17,2022-09-19
1429299899,bot_hp,True,False,123.0,2021-01-17,2021-10-17
1429304322,bot_hp,True,False,305.0,2021-01-17,2021-12-25
1429386814,bot_hp,True,False,849.0,2021-01-17,2023-03-02
1429443749,bot_hp,True,False,14.0,2021-01-17,2022-02-17
