a_id,group,n_days,n_block_days,p404_post_lag,p404_post_ccf,p404_pre_lag,p404_pre_ccf,p404_responder,vol_post_lag,vol_post_ccf,vol_pre_lag,vol_pre_ccf,vol_responder
1396216857,control,606,161,1.0,0.09987379401898418,-10.0,-0.019125224810540815,True,9,0.0796901118077548,-5,0.09090964976653153,False
1396233255,bot,395,7,7.0,0.034551345326109505,-14.0,-0.02366078510875837,True,8,-0.10113802796583506,-10,-0.10174811262814192,False
1396291067,control,267,4,5.0,0.7176121104484424,-10.0,0.03430580913363765,True,8,0.13622178445191177,-10,0.16003690973618315,False
1396298614,bot,292,4,14.0,-0.016129534399674024,-2.0,-0.015497003638902494,True,7,0.11692340108210576,-11,0.09350764530208974,True
1396314210,bot,105,3,9.0,-0.02044715147353043,-7.0,0.8505646911665223,False,1,0.40177654014241543,-2,0.29126954779260195,True
1396317409,bot,190,3,10.0,0.6209116940960391,-2.0,0.584866692944043,True,5,0.1148702750575601,-2,0.17789901526639504,False
1396711622,control,366,4,5.0,0.10144616170110354,-13.0,0.07437278890391975,True,12,0.1208767303382047,-6,0.07283831511455241,True
1396798779,bot,169,6,13.0,0.2760210169032388,-2.0,0.49359831169247237,False,13,0.45436062678344696,-3,0.2410062378104306,True
1396809281,bot,302,4,4.0,0.023730746244118747,-2.0,-0.020259496267882583,True,13,-0.09456017492373628,-13,0.11664933855256517,False
1396849165,bot,224,4,14.0,-0.01289108065261452,-14.0,-0.012905328006134592,False,1,0.1561399881625427,-10,0.1173797428352111,True
1396885913,bot,256,4,12.0,-0.01577968098981246,-6.0,0.732372101254987,False,12,0.20436800868821556,-11,-0.08662822947093585,True
1396888374,bot,391,4,13.0,0.16314935381998308,-1.0,0.18125472271280577,False,5,0.16896800919456248,-10,0.1819613130044849,False
1396949824,bot,156,3,11.0,0.08605372820703641,-14.0,0.09534475329652752,False,5,0.13088413414938635,-6,0.16975373456550116,False
1396969100,bot,186,4,14.0,-0.010787486008709733,-9.0,-0.010517798858491995,True,4,0.18962627487734357,-9,0.17615687091093515,True
1396977510,bot,171,3,,,,,,12,-0.09302799633581417,-8,-0.08519266128866952,True
1397012802,bot,231,4,2.0,0.23466533093465897,-1.0,0.03514365950278571,True,12,0.11702634674667217,-6,0.07603377131386782,True
1397026801,bot,600,18,3.0,0.059565285156752745,-13.0,-0.06629032544905429,False,10,0.09215433218340252,-5,0.11329643692196721,False
1397033056,control,488,9,8.0,0.04770083813237512,-10.0,-0.029936126695600956,True,2,0.058996546501641434,-6,0.09512027380794999,False
1397145929,control,418,11,14.0,0.03944485771969697,-3.0,0.10039063611738905,False,9,-0.08948207338171003,-7,0.1340675310241402,False
1397310748,bot,647,6,13.0,-0.04668213017523939,-11.0,0.04047828650038622,True,4,0.04163678615845084,-1,0.057312802242306844,False
