a_id,t_death,pre_vol,tail_vol
804524527,2021-08-09,34.0,16.5
804058586,2020-07-21,199.6,21.75418994413408
42199,2022-07-12,100.6,19.4
90873,2021-04-13,7.4,1.7407407407407407
559720920,2020-05-09,49.4,24.204301075268816
221639,2021-03-25,5.0,1.6428571428571428
121950225,2020-02-11,69.6,4.450617283950617
2144950626,2021-05-15,218.0,101.87301587301587
494562761,2023-02-24,8.6,1.5
398169,2019-11-05,124.8,3.6042780748663104
1719859574,2022-05-27,169.0,35.5
1392110574,2021-01-23,300.6,36.16891891891892
455044,2020-02-18,85.8,22.38125
229959,2021-11-29,9.2,1.4615384615384615
229661,2019-07-23,68.0,32.68
103419,2022-06-26,17.2,7.806451612903226
124479,2021-01-13,292.6,45.2442748091603
1429045312,2021-06-08,65.6,24.866666666666667
550510797,2021-06-02,103.6,28.2
1067407074,2021-08-09,45.8,10.555555555555555
93394,2021-06-22,722.2,37.1764705882353
108311,2021-11-14,18.2,8.620192307692308
98799,2022-05-14,29.4,11.838709677419354
51901,2021-12-11,5.6,1.8333333333333333
90503672,2021-03-25,6.0,1.7272727272727273
257192289,2020-04-08,191.6,18.372093023255815
360998,2019-10-26,18.2,2.6923076923076925
1474555189,2021-08-13,94.6,30.058823529411764
65069707,2020-01-23,52.8,15.757575757575758
1449751589,2021-02-01,148.2,6.0
699102609,2020-06-03,49.6,13.333333333333334
43494,2021-11-29,20.6,6.149797570850202
2010035916,2021-06-15,184.2,66.93333333333334
303175473,2020-04-12,311.4,43.729007633587784
229593,2021-05-17,71.8,24.142857142857142
317990,2019-09-29,89.2,28.775510204081634
1392208015,2021-05-03,607.8,121.23622047244095
165324,2022-12-12,5.6,2.1785714285714284
838693885,2020-07-14,7.2,2.4782608695652173
110626,2021-01-14,167.8,22.362903225806452
1880448511,2021-04-17,81.2,16.266666666666666
76085030,2021-12-23,15.6,1.4
199978616,2022-10-03,19.6,1.0
1601970032,2021-02-19,234.0,94.96174863387978
248219,2019-08-29,39.0,2.436619718309859
738859566,2020-06-17,150.6,9.855524079320114
1392199922,2023-01-18,91.4,1.0
82486,2022-08-16,28.2,1.0
279595,2019-09-14,65.6,30.787401574803148
2029190328,2021-06-30,278.6,55.57692307692308
1929924528,2021-05-23,237.6,6.794871794871795
222756,2019-07-23,198.6,2.4592901878914404
445105,2023-02-06,8.4,2.5
1392109441,2021-10-14,206.4,29.35175879396985
559980101,2020-05-14,63.4,29.869565217391305
206102,2022-08-19,8.8,2.25
140771,2020-06-16,54.8,8.486842105263158
139942847,2020-08-12,26.0,3.691780821917808
127807,2022-12-17,181.4,6.703703703703703
2145773312,2021-05-06,1135.8,272.4375
302566742,2022-09-22,2734.4,632.7263157894737
2144503325,2021-05-11,1089.0,126.33333333333333
132226,2021-12-02,123.8,32.7
398534,2019-11-11,24.6,4.5
278699,2022-03-18,457.0,43.666666666666664
1287149244,2020-10-07,116.2,36.0
555413747,2020-05-12,28.8,7.57085020242915
53725,2020-08-08,95.6,14.915254237288135
151354,2019-06-17,12.6,5.5
739496918,2021-07-04,177.2,49.714285714285715
1607671361,2021-02-22,237.2,41.388888888888886
1458075629,2021-05-01,367.4,70.88709677419355
136269,2022-08-18,21.4,9.958762886597938
134595,2023-01-11,160.0,2.0
13947484,2020-04-13,39.0,3.516962843295638
1534012971,2021-02-20,29.8,8.714285714285714
315076,2019-10-08,110.2,8.63125
1291041954,2021-12-14,130.4,27.5
1928846723,2021-04-05,1486.2,23.535714285714285
220288062,2020-03-04,61.8,19.941414141414143
103081,2020-04-06,369.0,53.294520547945204
161584,2019-06-18,219.8,3.6686507936507935
47712,2019-07-19,20.2,8.642857142857142
124334,2021-03-25,182.0,69.58490566037736
201067,2022-08-08,523.6,2.130434782608696
2143062952,2021-05-17,785.6,60.52
